Animal,part,disease,symptoms 1,Symptoms 2,Symptoms 3,Symptoms 4,Symptoms 5,Symptoms 6,Symptoms 7,severity,treatment
dog,ear,otitis externa (outer ear infections),redness and swelling,ear scratching,foul odor in ear,discharge from the ear,shaking of the head, pain when touched,nil,low,Clean: Use a vet-recommended ear cleaner. Topical Treatments: Apply diluted apple  cider vinegar or coconut oil gently.Dietary Support: Consider omega-3 supplements.
dog,ear,otitis media (middle ear infections),nil,ear scratching,foul odor in ear,discharge from the ear,shaking of the head,pain when touched,fever,medium,Warm Compress: Apply a warm compress to relieve pain. Herbal Oil: Use mullein or garlic oil cautiously.
dog,ear,otitis interna (inner ear infections),walk in circles,facial paralysis,nystagmus,nil,shaking of the head,pain when touched,vomiting,high,Veterinary Care: Seek professional help immediately.
dog,ear,ear tumor,swelling,facial paralysis,visible growth or mass,discharge from the ear,shaking of the head,pain when touched,nil,medium," try applying 1 drop of neem or castor oil to the tumor twice a day. Consider adding omega-3 fatty acid, probiotic, or L-carnitine amino acid supplements to your dog's diet as well."
dog,ear, fungal otitis,scaly skin in ear,itchy and inflmed,foul odor in ear,discharge from the ear,nil,nil,nil,low,"clean ears with a vet-approved cleaner, use diluted apple cider vinegar, and apply coconut oil for soothing. Add probiotics to the diet and consider a grain-free diet to manage yeast."
dog,ear,Otitis Externa,Ear scratching,Head shaking,Redness in ear,Foul odor,Swelling in ear,Ear discharge,Pain when touched,Moderate,Clean ear with vet-recommended solution; apply warm compress
dog,ear,Ear Mites,Dark discharge,Ear scratching,Head shaking,Scabs around ear,Inflammation,Hair loss around ear,Foul odor,Mild,Clean ears regularly; apply mineral oil to affected area
dog,ear,Yeast Infection,Brown ear discharge,Head shaking,Redness in ear,Smelly ear,Excessive ear wax,Swelling in ear,Ear scratching,Severe,Clean ear with anti-fungal ear solution; keep ears dry
dog,ear,Bacterial Infection,Yellow-green discharge,Redness in ear,Pain in ear,Ear swelling,Ear scratching,Head tilt,Ear bleeding,Severe,Clean ear with antibacterial solution; apply warm compress
dog,ear,Allergic Otitis,Ear scratching,Redness in ear,Head shaking,Ear discharge,Thickened ear tissue,Hair loss near ear,Ear swelling,Moderate,Clean ear gently; use hypoallergenic diet and topical ointments
dog,ear,Foreign Object in Ear,Ear scratching,Head shaking,Redness in ear,Pawing at ear,Pain in ear,Swelling in ear,Ear discharge,Mild,Gently remove object if visible; clean with solution
dog,ear,Ear Hematoma,Swollen ear flap,Pain in ear,Head shaking,Ear scratching,"Warm, soft swelling",Fluid buildup,Redness in ear,Severe,Apply cold compress; keep ear elevated; consult vet if persistent
dog,ear,Polyps in Ear Canal,Ear discharge,Ear scratching,Head shaking,Swollen ear canal,Hearing loss,Pain in ear,Foul odor,Severe,Clean ear regularly; apply vet-recommended ear drops
dog,ear,Fungal Otitis,Redness in ear,Scaly skin around ear,Ear discharge,Head shaking,Hair loss around ear,Pain in ear,Ear swelling,Severe,Clean ear with antifungal solution; keep ears dry
dog,ear,Ear Wax Buildup,Brown ear discharge,Head shaking,Ear scratching,Smelly ear,Fullness in ear,Hearing loss,Pain when touched,Mild,Gently clean ear with a vet-approved cleaning solution
dog,ear,Tick Infestation,Visible ticks,Ear scratching,Redness in ear,Head shaking,Scabs around ear,Ear discharge,Pain in ear,Mild,Remove ticks manually with tweezers; clean ear afterward
dog,ear,Ear Abscess,Redness in ear,Pain in ear,Swollen ear canal,Pus-filled discharge,Fever,Lethargy,Swelling near ear,Severe,Apply warm compress; clean ear regularly; consult vet
dog,ear,Ear Tumors,Ear discharge,Ear scratching,Redness in ear,Head shaking,Hearing loss,Swelling in ear,Pain in ear,Severe,Gently clean ear; consult vet for possible surgery
dog,ear,Ear Dermatitis,Itchy ears,Redness in ear,Head shaking,"Dry, flaky skin",Ear scratching,Scabs around ear,Hair loss near ear,Mild,Apply soothing ointments; keep ears clean and dry
dog,ear,Ear Canker,Foul-smelling discharge,Ear scratching,Head shaking,Redness in ear,Thick ear wax,Pain in ear,Ear swelling,Moderate,Clean ears with antiseptic solution; apply warm compress
dog,ear,Middle Ear Infection,Loss of balance,Head tilt,Hearing loss,Ear discharge,Ear scratching,Pain in ear,Swollen ear canal,Severe,Keep ears clean; apply warm compress; consult vet
